0;Reputation aversion triggered. 
101155;Kup Hodowce Koni 
500001;Nie bede na Ciebie reagowac. 
500002;Ide do domu. 
500003;Szukanie
500004;Jestem bierny, chodze wkolo. 
500005;Bugging out of combat due to flags. 
500006;You are no longer squelched. 
500007;Nie jestes juz nieruchomy.
500008;Nie jestes juz niezniszczalny. 
500009;Biore rozmach 
500010;No scripts 
500011;No vars 
500012;Nie mozesz uzywac umiejetnosci kiedy jestes martwy. 
500013;Nie mozesz uzywac umiejetnosci. 
500014;Ta umiejetnosc nie zostac uzyta bezposrednio. 
500015;Nie znasz tego zaklecia. 
500016;Nie znasz tego zaklecia. 
500017;Bank jest teraz wlaczony! 
500018;Bank jest teraz wylaczony 
500019;Bad param.  Bank is currently ON 
500020;Bad param.  Bank is currently OFF 
500021;Usage: .addres bank|world resourcetype (amount) 
500022;You are not in a resource region. 
500023;Bad sethue. 
500024;Otwieranie drzwi... 
500025;Mem report written 
500026;Could not open file for appending 
500027;Memory debugging not enabled 
500028;Could not open reslist.txt for writing on server 
500029;Wrote reslist.txt on server 
500030;Prawdaaaa. 
500031;Nosir. 
500032;No such object. 
500033;Cel nie zostal odnaleziony. 
500034;Cel nie zostal odnaleziony. 
500035;Cel nie zostal odnaleziony. 
500036;Cel nie zostal odnaleziony. 
500037;Usage: become template_number 
500038;Sukces! 
500039;Porazka! 
500040;Game master mode on 
500041;Game master mode off 
500042;Usage: gm [on|off] 
500043;Cel nie zostal odnaleziony. 
500044;Cel nie zostal odnaleziony. 
500045;Cel nie zostal odnaleziony. 
500046;Cel nie zostal odnaleziony. 
500047;Cel nie zostal odnaleziony. 
500048;Cel nie zostal odnaleziony. 
500049;Cel nie zostal odnaleziony. 
500050;Cel nie zostal odnaleziony. 
500051;Cel nie zostal odnaleziony. 
500052;Cel nie zostal odnaleziony. 
500053;Cel nie zostal odnaleziony. 
500054;Cel nie zostal odnaleziony. 
500055;Cel nie zostal odnaleziony. 
500056;Fight started 
500057;Cel nie zostal odnaleziony. 
500058;Teleport storm started. 
500059;Object not found 
500060;Object not found 
500061;Object not found 
500062;Usage: getplayers num x y z 
500063;Player not found 
500064;Player not found 
500065;Object not found 
500066;Usage: multi_repos id x y z 
500067;Done! 
500068;Invalid multi template id 
500069;Usage: multi_nosend id value 
500070;Done! 
500071;Invalid multi template id 
500072;Usage: decay_test value 
500073;Decay test on! 
500074;Decay test off! 
500075;Starting atrophy. 
500076;Invalid transfer location 
500077;Invalid transfer location 
500078;Wtracanie gracza do wiezienia... 
500079;You have no current player set, sorry 
500080;Victim has no unjail location set, use release. 
500081;Uwalnianie gracza z wiezienia... 
500082;You have no current player set, sorry.
500083;Invalid release location 
500084;Sorry, that would transfer a non-Gold player to a Gold area. 
500085;Uwalnianie gracza 
500086;You have no current player set, sorry 
500087;Porsba o pomoc zostala wyslana do grona GM. 
500088;Unknown counselor command 
500089;Brak aktywnych prosb o pomoc. 
500090;Ide do nastepnego zgloszenia. 
